video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/shorts/0KQ99nS7llQ,/@thebesteaterfriend,The Best Eater Friend,Cousin doesn't want to wash the dishes | Chinese food  | Funny Pranks  | Funny Mukbang |TikTok Video,763K weergaven,1 jaar geleden,Please Be Assured That This Video Is An Original Skit That Has Been Carefully Planned And Produced Without Any Negative ...,49:10.5
/shorts/bZs5XgCQu1E,/@EatersSquad,Eaters Squad,who got the pork belly丨eating spicy food and funny pranks丨funny mukbang丨tiktok,"1,6 mln. weergaven",8 maanden geleden,#country food#Chinese special food#food making.,49:20.2
/watch?v=82EMIpuUK3Q&pp=ygUMY2hpbmVzZSBmb29k,/@JoshuaWeissman,Joshua Weissman,$3 Chinese Takeout Meal,"2,1 mln. weergaven",1 jaar geleden,"For three dollars you could have orange chicken, chow mein, kung pao pork, and a side of rice. If you're at a restaurant, that might ...",49:20.2
/shorts/7KhmVGluq-I,/@thejathangu,Thejathangu Diaries,Chinese food try cheythapo ulla reaction😹🍜 | Don’t miss papa’s reaction😹 | thejathangu😉,"2,3 mln. weergaven",8 maanden geleden,thejathangu #youtube #trending #ownvoice #reaction #foodvlog #chinesefood #Shorts #youtubeshorts #comedy #palakkad ...,49:20.2
/shorts/VP68EfpgQqQ,/@foodiechina888,foodiechina888,Easy Sour & Spicy Noolde Soup Recipe #shorts #recipe #cooking #chinesefood #noodles #ramen,"2,6 mln. weergaven",1 jaar geleden,Trending sour and spicy noodle soup recipe in china cook noodles in water from mississippi river blanche baby bok choy four ...,49:20.2
/watch?v=4u4yjZoXfmE&pp=ygUMY2hpbmVzZSBmb29k,/@MiaoXiaoYu,Miao XiaoYu,【ASMR MUKBANG】BEEF RIVER CLAMS丨CHINESE FOOD EATING SHOW丨TIKTOK FUNNY VIDEOS,25K weergaven,10 dagen geleden,【ASMR MUKBANG】BEEF RIVER CLAMS丨CHINESE FOOD EATING SHOW丨TIKTOK FUNNY VIDEOS ”Our videos focus on ...,49:20.2
/shorts/UkDwb-1Wb6o,/@ShiShenOfficial,ShiShen Cooking,Spicy pearl！Crispy| Chinese Food Eating Show | Funny Mukbang ASMR,30 mln. weergaven,1 jaar geleden,"""Our videos focus on showcasing the food-making process, with all ingredients sourced legally and ethically."" Hello all my ...",49:20.2
/watch?v=6IM22gfz6uo&pp=ygUMY2hpbmVzZSBmb29k,/@smoshpit,Smosh Pit,Chinese Food Taste Test (Eat It Or Yeet It),761K weergaven,8 maanden geleden,Olivia shares her cultural food with us! SUBSCRIBE: https://smo.sh/Sub2SmoshPit WEAR OUR JOKES: https://smosh.com WHO ...,49:20.2
/shorts/pgdIfd6iEhQ,/@ShiShenOfficial,ShiShen Cooking,delicious tonic| Chinese Food Eating Show | Funny Mukbang ASMR,18 mln. weergaven,7 maanden geleden,"""Our videos focus on showcasing the food-making process, with all ingredients sourced legally and ethically."" Hello all my ...",49:20.2
/shorts/UXrSxDAMSyI,/@wokgod,dimsimlim,CHICKEN CHOWMEIN (CANTONESE STYLE) #SHORTS #CHOWMEIN #CHINESEFOOD,"4,3 mln. weergaven",2 jaar geleden,This recipe is a 26 year old recipe currently served at Lawson Chinese restaurant in Blue Mountains Australia. I believe in sharing ...,49:20.2
/shorts/xRsrAS3tzTY,/@EatersSquad,Eaters Squad,Seafood Feast丨eating spicy food and funny pranks丨funny mukbang丨tiktok video,"7,2 mln. weergaven",11 maanden geleden,#country food#Chinese special food#food making.,49:20.3
/watch?v=dn7_5ssyz1E&pp=ygUMY2hpbmVzZSBmb29k,/@fatsongsongandthinermao,FatSongsong and ThinErmao,cooking | How to cook soft-shelled turtle? | mukbangs | chinese food | mukbang | songsong & ermao,56 mln. weergaven,1 jaar geleden,"cooking | How to cook soft-shelled turtle? | mukbangs | chinese food | mukbang | songsong & ermao,The Chinese delicacies ...",49:20.3
/shorts/oWNGkKilSnQ,/@cookshowtrevor,Cookshow with Trevor,Chinese Food Pizza #shorts,35K weergaven,7 maanden geleden,Hey guys today we're gonna make a uh Chinese food pizza okay let's start with some dough stretch it out top it with some stir-fry ...,49:20.3
/shorts/4gURD5v1lxY,/@ShiShenOfficial,ShiShen Cooking,Creazy!eat raw！aloe vera| Chinese Food Eating Show | Funny Mukbang ASMR,"5,1 mln. weergaven",1 jaar geleden,"""Our videos focus on showcasing the food-making process, with all ingredients sourced legally and ethically."" Hello all my ...",49:20.3
/shorts/R3YyuH85DDM,/@-asianstreetfood,Asian Street food,Asian street food 黄瓜,"5,2 mln. weergaven",7 maanden geleden,"Asian street food 黄瓜 I shot some popular street food videos in Asia. If you like these videos, please subscribe, thank you very ...",49:20.3
/shorts/3TrPWpk4a84,/@tommywinkler,Tommy Winkler,Italian Food VS Chinese Food! (Food Battle) #shorts #food #china #italy,2 mln. weergaven,1 jaar geleden,Social Media's: Instagram: https://www.instagram.com/tommywinkler/ TikTok: https://www.tiktok.com/@tommywinkler? Twitter: ...,49:20.3
/shorts/HNtuNim-_08,/@ShiShenOfficial,ShiShen Cooking,Hot!Lots of peppers for ice cream| Chinese Food Eating Show | Funny Mukbang ASMR,"2,6 mln. weergaven",1 jaar geleden,"""Our videos focus on showcasing the food-making process, with all ingredients sourced legally and ethically."" Hello all my ...",49:20.3
/watch?v=oAtxlV2axUs&pp=ygUMY2hpbmVzZSBmb29k,/@dianxixiaoge,滇西小哥 Dianxi Xiaoge,Food Made from Colorful Peanuts - Mutton Hot Pot with Peanut Butter【Dianxixiaoge】,"3,8 mln. weergaven",1 maand geleden,"Click ""cc"" on the lower right menu to choose your subtitle language. Because I love eating peanuts, my family grows and harvests ...",49:20.3
/watch?v=jm8WBhUwFCo&pp=ygUMY2hpbmVzZSBmb29k,/@ttnmedia4929,TTN Media,ASMR CHINESE FOOD MUKBANG EATING SHOW  | 먹방 ASMR 중국먹방 | XIAO YU MUKBANG #20,"2,5 mln. weergaven",1 jaar geleden,ASMR CHINESE FOOD MUKBANG EATING SHOW | 먹방 ASMR 중국먹방 | XIAO YU MUKBANG #asmr #mukbang ...,49:20.3
/shorts/OIJogRpEVps,/@wokgod,dimsimlim,CHINESE OMELETTE FOR BREAKFAST #SHORTS #CHINESEFOOD #COOKING,7 mln. weergaven,10 maanden geleden,"Crispy Chinese Omelette (Egg Foo Young) is one of the “easier” Chinese dishes to eat. No matter if you are young or old, you can ...",49:20.3
/watch?v=t26u_k7ze6w&pp=ygUMY2hpbmVzZSBmb29k,/@wildwestfashion7481,Wild West Fashion,Top 10  Popular Chinese Food,163K weergaven,8 jaar geleden,These are top 10 Chinese food popular both in western world and mainland China.Every tourist should eat these foods while in ...,49:20.3
